tier,start,end,duration,comment,relavence,classification,subject,
Caregiver linguistic,20.213,20.56,0.346999999999998,taza ,1,normal,157,
Caregiver linguistic,21.133,21.68,0.547000000000001,cafe ,0,imaginary,157,
Caregiver linguistic,22.252,22.906,0.654,leche,0,normal,157,
Child linguistic,23.38,24.34,0.960000000000001,leche,0,normal,157,
Caregiver linguistic,24.416,25.096,0.68,leche,0,normal,157,
Caregiver linguistic,26.593,27.143,0.550000000000001,leche,0,normal,157,
Caregiver linguistic,31.326,32.006,0.68,fresa ,1,normal,157,
Caregiver linguistic,47.526,48.399,0.872999999999998,brocoli,0,normal,157,
Caregiver linguistic,51.69,52.73,1.04,cebolla,1,normal,157,
Child linguistic,52.716,53.736,1.02,cebolla,0,normal,157,
Caregiver linguistic,53.67,54.81,1.14,cebolla ,1,normal,157,
Caregiver linguistic,58.26,59.1,0.840000000000003,elote ,1,normal,157,
Child linguistic,58.923,59.923,1,elote,0,normal,157,
Caregiver linguistic,59.56,60.72,1.16,elote ,1,normal,157,
Caregiver linguistic,62.9,64.013,1.11300000000001,aguacate ,1,normal,157,
Caregiver linguistic,66.15,66.896,0.745999999999995,aguacate  ,1,normal,157,
Caregiver linguistic,71.423,72.43,1.00700000000001,vaca ,1,normal,157,
Child linguistic,72.312,72.992,0.680000000000007,vaca,0,normal,157,
Caregiver linguistic,72.983,73.515,0.531999999999997,vaca ,1,normal,157,
Caregiver linguistic,74.016,74.423,0.406999999999997,vaca,1,normal,157,
Child linguistic,78.346,78.959,0.612999999999999,vaca,0,normal,157,
Caregiver linguistic,79.399,80.359,0.959999999999993,vaca,0,normal,157,
Caregiver linguistic,86.172,87.159,0.987000000000009,cazuela,0,normal,157,
Caregiver linguistic,89.192,89.718,0.52600000000001,cuchara ,1,normal,157,
Caregiver linguistic,95.339,95.947,0.608000000000004,cazuela ,1,normal,157,
Caregiver linguistic,109.182,109.655,0.472999999999999,taza,0,normal,157,
Child linguistic,110.124,110.751,0.627000000000009,taza,0,normal,157,
Caregiver linguistic,110.678,111.524,0.846000000000003,taza,0,normal,157,
Caregiver linguistic,111.707,112.221,0.51400000000001,cafe,0,normal,157,
Caregiver linguistic,113.557,113.984,0.426999999999993,leche,0,normal,157,
Child linguistic,114.353,115.046,0.693000000000012,leche,0,normal,157,
Caregiver linguistic,115.303,116.023,0.719999999999999,leche,0,normal,157,
Caregiver linguistic,120.966,121.506,0.540000000000006,leche,0,normal,157,
Caregiver linguistic,126.58,127.48,0.900000000000006,jitomate,0,normal,157,
Caregiver linguistic,128.508,129.823,1.315,jitomate,0,normal,157,
Caregiver linguistic,130.06,130.66,0.599999999999994,cebolla,0,normal,157,
Caregiver linguistic,131.56,132,0.439999999999998,cebolla,0,normal,157,
Caregiver linguistic,137.69,138.29,0.599999999999994,brocoli,0,normal,157,
Caregiver linguistic,142.32,143.28,0.960000000000008,brocoli,0,normal,157,
Caregiver linguistic,161.64,162.099,0.459000000000003,cazuela,0,normal,157,
Caregiver linguistic,162.855,163.455,0.600000000000023,cazuela,0,normal,157,
Caregiver linguistic,167.879,168.772,0.893000000000001,brocoli,0,normal,157,
Caregiver linguistic,169.979,170.919,0.939999999999998,fresa,0,normal,157,
Caregiver linguistic,176.189,176.929,0.740000000000009,fresa,0,normal,157,
Caregiver linguistic,181.198,181.484,0.286000000000001,cuchara,1,normal,157,
Caregiver linguistic,188.116,188.671,0.554999999999978,cazuela,0,normal,157,
Caregiver linguistic,195.193,195.933,0.739999999999981,platito,0,normal,157,
Caregiver linguistic,198.296,199.049,0.753000000000014,brocoli,0,normal,157,
Caregiver linguistic,202.533,203.133,0.600000000000023,plato,0,normal,157,
Caregiver linguistic,207.386,208.026,0.640000000000015,galleta,0,normal,157,
Caregiver linguistic,208.419,208.946,0.526999999999987,galleta,0,normal,157,
Caregiver linguistic,210.668,211.088,0.419999999999988,galleta,0,normal,157,
Caregiver linguistic,212.614,213.242,0.627999999999986,galleta,0,normal,157,
Caregiver linguistic,214.788,215.488,0.699999999999989,galletas,0,normal,157,
Caregiver linguistic,218.598,219.104,0.506,galleta,0,normal,157,
Caregiver linguistic,221.098,221.758,0.659999999999997,galleta,0,normal,157,
